pair,entry_time,entry_price,stake,amount,score,cats,tag,triggered,max_rate,peak_profit_pct,exit_time,exit_price,exit_reason,profit_pct,net_profit_usd,hold_hours
NFP_USDT,2026-06-03 09:25:00+00:00,0.01016,1.0,98.2283464566929,86.0,4,demon_strong,"A1,A2,A3,B1,B2,D1,D2,",0.010278,1.161417322834646,2026-06-03 21:25:00+00:00,0.00951,time_dud,-6.397637795275603,-0.06584842519685052,12.0
NFP_USDT,2026-06-05 11:55:00+00:00,0.008841,1.0,112.88315801379935,80.0,4,demon_strong,"A1,A2,A3,B2,C2,D2,",0.01094,23.74165818346341,2026-06-05 16:40:00+00:00,0.009865,pullback,11.582400180975009,0.11359235380613053,4.75
LAB_USDT,2026-06-24 06:25:00+00:00,16.97,1.0,0.05880966411314084,86.0,4,demon_strong,"A1,A2,A3,B1,B2,D1,D2,",20.647,21.667648791985854,2026-06-24 16:10:00+00:00,18.495,pullback,8.986446670595182,0.08768473777253982,9.75
LIGHT_USDT,2026-06-24 10:55:00+00:00,0.14264,1.0,6.996634885025239,80.0,4,demon_strong,"A1,A2,A3,C2,D1,D2,",0.14883,4.33959618620303,2026-06-24 16:55:00+00:00,0.12464,time_sharp_drop,-12.619181155356134,-0.12793942793045432,6.0
MITO_USDT,2026-06-24 14:55:00+00:00,0.02864,1.0,34.8463687150838,84.0,4,demon_strong,"A1,A2,A3,B2,C2,D1,D2,",0.02879,0.5237430167597794,2026-06-24 18:45:00+00:00,0.02379,hard_stoploss,-16.93435754189944,-0.17100488826815652,3.8333333333333335
SAHARA_USDT,2026-06-24 08:30:00+00:00,0.01351,1.0,73.87120651369356,84.0,4,demon_strong,"A1,A2,A3,B2,C2,D1,D2,",0.01448,7.179866765358997,2026-06-24 20:35:00+00:00,0.01307,time_dud,-3.256846780162838,-0.034503330866025084,12.083333333333334
SQD_USDT,2026-06-24 12:55:00+00:00,0.03826,1.0,26.084683742812334,80.0,4,demon_strong,"A1,A2,A3,B2,D1,D2,",0.03848,0.5750130684788237,2026-06-25 00:55:00+00:00,0.03675,time_dud,-3.9466806063774293,-0.04138787245164677,12.0
EPIC_USDT,2026-06-24 19:05:00+00:00,0.4519,1.0,2.2084531976100905,80.0,4,demon_strong,"A1,A3,B1,B2,C2,D2,",0.4571,1.1506970568709851,2026-06-25 07:05:00+00:00,0.4254,time_dud,-5.864129232131007,-0.060524009736667495,12.0
GWEI_USDT,2026-06-25 00:00:00+00:00,0.134,1.0,7.447761194029851,80.0,4,demon_strong,"A1,A2,A3,B2,D1,D2,",0.137,2.2388059701492558,2026-06-25 12:00:00+00:00,0.12674,time_dud,-5.417910447761206,-0.056070746268656824,12.0
HIGH_USDT,2026-06-25 02:00:00+00:00,0.0373,1.0,26.75603217158177,82.0,4,demon_strong,"A1,A2,B1,B2,D1,D2,",0.0373,0.0,2026-06-25 14:00:00+00:00,0.03279,time_sharp_drop,-12.091152815013405,-0.12266970509383379,12.0
WARD_USDT,2026-06-25 06:05:00+00:00,0.008404,1.0,118.75297477391719,90.0,4,demon_strong,"A1,A2,A3,B1,B2,C2,D1,D2,",0.008631,2.7010947168015202,2026-06-25 18:05:00+00:00,0.008026,time_dud,-4.497858162779627,-0.046888624464540674,12.0
KGEN_USDT,2026-06-25 04:05:00+00:00,0.17745,1.0,5.624119470273317,82.0,4,demon_strong,"A1,A2,A3,B1,B2,D2,",0.18097,1.9836573682727503,2026-06-25 22:45:00+00:00,0.17198,time_dud,-3.082558467173853,-0.03276393350239515,18.666666666666668
PRO_USDT,2026-06-25 12:25:00+00:00,0.3684,1.0,2.7090119435396307,80.0,4,demon_strong,"A2,A3,B1,B2,D1,D2,",0.3829,3.935939196525519,2026-06-26 00:25:00+00:00,0.348,time_dud,-5.53745928338763,-0.05726384364820847,12.0
MANTA_USDT,2026-06-25 14:50:00+00:00,0.08569,1.0,11.64663321274361,80.0,4,demon_strong,"A2,B1,B2,C2,D1,D2,",0.08844,3.2092426187419796,2026-06-26 06:25:00+00:00,0.08276,time_dud,-3.41930213560509,-0.03612463531333876,15.583333333333334
TA_USDT,2026-06-25 08:05:00+00:00,0.0787,1.0,12.681067344345616,84.0,4,demon_strong,"A1,A2,A3,B2,C2,D1,D2,",0.08443,7.280813214739515,2026-06-26 08:05:00+00:00,0.07904,time_stale,0.4320203303684791,0.002311562897077568,24.0
CHIP_USDT,2026-06-25 23:15:00+00:00,0.03005,1.0,33.21131447587354,80.0,4,demon_strong,"A1,A2,A3,B1,B2,C2,D2,",0.03022,0.5657237936772047,2026-06-26 11:15:00+00:00,0.02836,time_dud,-5.6239600665557425,-0.05812712146422638,12.0
HFT_USDT,2026-06-26 06:30:00+00:00,0.009671,1.0,103.19511942922138,84.0,4,demon_strong,"A1,A3,B1,B2,C2,D1,D2,",0.010403,7.569020783786579,2026-06-26 18:30:00+00:00,0.009048,time_dud,-6.4419398200806555,-0.06629055940440498,12.0
JTO_USDT,2026-06-25 21:10:00+00:00,0.6925,1.0,1.4411552346570398,80.0,4,demon_strong,"A1,A2,A3,B1,B2,C2,D2,",0.8825,27.436823104693133,2026-06-27 00:10:00+00:00,0.7967,pullback,15.046931407942232,0.14816837545126327,27.0
AIOT_USDT,2026-06-26 01:15:00+00:00,0.05121,1.0,19.488381175551652,90.0,4,demon_strong,"A1,A2,A3,B1,B2,C2,D1,D2,",0.0528,3.104862331575866,2026-06-27 01:15:00+00:00,0.05005,time_stale,-2.265182581527048,-0.0246065221636399,24.0
STG_USDT,2026-06-26 20:25:00+00:00,0.172,1.0,5.802325581395349,80.0,4,demon_strong,"A1,A2,A3,B1,B2,C2,D2,",0.1787,3.8953488372093092,2026-06-27 08:25:00+00:00,0.1607,time_dud,-6.569767441860453,-0.06756627906976731,12.0
TROLL_USDT,2026-06-26 08:30:00+00:00,0.05484,1.0,18.198395331874544,80.0,4,demon_strong,"A1,A3,B1,B2,D1,D2,",0.05839,6.473377097009478,2026-06-27 09:15:00+00:00,0.05504,time_stale,0.36469730123996863,0.001639679066374855,24.75
B_USDT,2026-06-26 11:15:00+00:00,0.23354,1.0,4.273357883017899,80.0,4,demon_strong,"A1,A2,A3,B2,C2,D2,",0.2468,5.677828209300332,2026-06-27 11:15:00+00:00,0.2356,time_stale,0.8820758756529958,0.0068031172390168315,24.0
LAB_USDT,2026-06-27 02:10:00+00:00,20.03,1.0,0.04982526210683974,86.0,4,demon_strong,"A1,A2,A3,B1,B2,D1,D2,",20.44,2.046929605591613,2026-06-27 11:35:00+00:00,18.266,time_sharp_drop,-8.806789815277098,-0.08989176235646534,9.416666666666666
PRO_USDT,2026-06-27 00:10:00+00:00,0.3787,1.0,2.635331396884077,86.0,4,demon_strong,"A1,A2,A3,B1,B2,D1,D2,",0.3822,0.9242144177449177,2026-06-28 00:10:00+00:00,0.3712,time_stale,-1.9804594665962523,-0.02176498547663064,24.0
PIEVERSE_USDT,2026-06-27 09:00:00+00:00,0.698,1.0,1.4297994269340975,80.0,4,demon_strong,"A1,A2,A3,B2,D1,D2,",0.8931,27.95128939828081,2026-06-28 04:30:00+00:00,0.7921,pullback,13.4813753581662,0.1325441260744986,19.5
IP_USDT,2026-06-28 00:10:00+00:00,0.324,1.0,3.080246913580247,84.0,4,demon_strong,"A1,A2,A3,B2,C2,D1,D2,",0.324,0.0,2026-06-28 12:10:00+00:00,0.3093,time_dud,-4.537037037037034,-0.047279629629629505,12.0
STBL_USDT,2026-06-27 11:00:00+00:00,0.02489,1.0,40.09642426677381,86.0,4,demon_strong,"A1,A2,A3,B1,B2,C2,D2,",0.0264,6.066693451185219,2026-06-28 13:15:00+00:00,0.02506,time_stale,0.683005222981117,0.004816392125351676,26.25
QAIT_USDT,2026-06-28 04:35:00+00:00,0.01155,1.0,86.40692640692642,80.0,4,demon_strong,"A1,A3,B1,B2,C2,D2,",0.011603,0.45887445887446726,2026-06-28 15:10:00+00:00,0.010619,time_sharp_drop,-8.060606060606057,-0.08244484848484845,10.583333333333334
SIREN_USDT,2026-06-27 13:00:00+00:00,0.0916,1.0,10.895196506550219,84.0,4,demon_strong,"A1,A3,B1,B2,C2,D1,D2,",0.10815,18.067685589519645,2026-06-28 15:25:00+00:00,0.09249,time_stale,0.9716157205240196,0.0076967248908297314,26.416666666666668
ARIA_USDT,2026-06-28 14:25:00+00:00,0.02662,1.0,37.490608564988726,80.0,4,demon_strong,"A1,A2,B2,C2,D1,D2,",0.02701,1.4650638617580691,2026-06-29 02:25:00+00:00,0.02577,time_dud,-3.1930879038317053,-0.03386701728024044,12.0
GWEI_USDT,2026-06-28 12:25:00+00:00,0.14568,1.0,6.85063152114223,84.0,4,demon_strong,"A1,A3,B1,B2,C2,D1,D2,",0.22516,54.55793520043931,2026-06-29 10:15:00+00:00,0.20015,pullback,37.39017023613398,0.3711538989566172,21.833333333333332
PUMP_USDT,2026-06-27 15:00:00+00:00,0.0013727,1.0,727.0343119399723,90.0,4,demon_strong,"A1,A2,A3,B1,B2,C2,D1,D2,",0.0015147,10.34457638231223,2026-06-29 15:00:00+00:00,0.0014051,time_weak,2.3603117942740686,0.021555911706855335,48.0
NAORIS_USDT,2026-06-29 03:10:00+00:00,0.04023,1.0,24.807357693263732,86.0,4,demon_strong,"A1,A2,A3,B1,B2,D1,D2,",0.04134,2.759134973900074,2026-06-29 16:25:00+00:00,0.03894,time_dud,-3.2065622669649496,-0.03400149142431019,13.25
H_USDT,2026-06-28 16:55:00+00:00,0.05965,1.0,16.730930427493714,80.0,4,demon_strong,"A1,A3,B1,C2,D1,D2,",0.07633,27.96311818943838,2026-06-29 20:00:00+00:00,0.06847,pullback,14.786253143336129,0.14556680637049446,27.083333333333332
ORDI_USDT,2026-06-29 01:05:00+00:00,3.226,1.0,0.30936143831370116,80.0,4,demon_strong,"A2,B1,B2,C2,D1,D2,",4.346,34.71791692498451,2026-06-29 20:00:00+00:00,3.869,pullback,19.9318040917545,0.1969194048357099,18.916666666666668
LIGHT_USDT,2026-06-29 10:15:00+00:00,0.12772,1.0,7.813968055120577,86.0,4,demon_strong,"A1,A2,A3,B1,B2,D1,D2,",0.12926,1.2057626056999793,2026-06-29 22:15:00+00:00,0.11904,time_dud,-6.796116504854363,-0.06982524271844659,12.0
TROLL_USDT,2026-06-29 17:40:00+00:00,0.05399,1.0,18.484904611965177,80.0,4,demon_strong,"A1,A2,A3,B2,C2,D2,",0.05716,5.871457677347655,2026-06-30 04:00:00+00:00,0.04967,time_sharp_drop,-8.001481755880727,-0.08185478792368961,10.333333333333334
HIGH_USDT,2026-06-29 22:25:00+00:00,0.04441,1.0,22.472416122494934,80.0,4,demon_strong,"A1,A2,A3,B1,B2,C2,D2,",0.0456,2.6795766719207466,2026-06-30 04:25:00+00:00,0.03788,time_sharp_drop,-14.703895519027249,-0.14874487727989194,6.0
