,demon_mean,demon_median,demon_std,control_mean,control_median,control_std,diff_pct,p_value,significant,cohens_d,pct_rank,demon_n,control_n
pre_change_pct,3.881770638413684,4.307778516534642,4.084279544443484,-0.21309768167384285,-0.4786065702070602,2.0097890213716103,1921.5921486911984,2.9413353423996115e-13,True,1.2721955320938028,96.0,66,100
pre_range_pct,10.098351463530497,7.627824664226859,7.464289643381876,4.325890932254689,3.4023141333618865,3.6182521027716557,133.439807467988,5.856868683120202e-16,True,0.984143654597085,94.0,66,100
pre_volatility,0.13252501034656655,0.10094152323150905,0.10510433884917716,0.05871799102905371,0.0465451552593517,0.058193703740168086,125.69745324051208,5.844063732469444e-14,True,0.868816182598244,95.0,66,100
pre_total_volume,8843573.461424245,1528432.5,24106323.891829252,1653239012.5526116,608480.155,13811040510.72611,-99.46507592705728,0.0993223128079109,False,-0.16838143278531723,84.0,66,100
volume_ratio_last1h_vs_avg,2.9341514041937358,1.2304848829909658,8.402710191859494,1.9287890225163293,0.9809533993156989,6.816404078800941,52.12402030190915,0.017593517660519035,True,0.13140650182610866,91.0,66,100
sma12_slope,2.7512402237901945,2.3336755412287413,2.8125414178362576,0.25865060734439127,0.01977907168227205,1.4599395648268845,963.6898370499242,2.8714585640674376e-10,True,1.1123967714601406,97.0,66,100
staircase_score,0.6939393939393939,0.8,0.21403003950113594,0.622,0.6,0.26037269325706847,11.56581896131734,0.07433847016822036,False,0.30184727539579786,63.0,66,100
volume_staircase_score,0.5272727272727272,0.6,0.1514498693860874,0.512,0.4,0.19346912681433973,2.9829545454545343,0.2360654422421996,False,0.08790842135506677,54.0,66,100
range_compression_ratio,1.5751457642765192,1.2047520833514422,1.6490677321522658,1.252021146755655,0.9900914365921116,1.3274323408546236,25.80823960986382,0.005985415675500665,True,0.2158605578794558,88.0,66,100
pre_volume_skew,3.1169607548660623,2.944559776791093,1.6681153448174824,3.5937716115065292,3.538069773069906,1.875238473064151,-13.267700571561509,0.06022815825772092,False,-0.2686710743136305,42.0,66,100
