,moji_mean,moji_median,control_mean,control_median,diff_pct
pre_change_pct,3.881770638413684,4.307778516534642,-0.21309768167384288,-0.4786065702070603,1921.592148691198
pre_range_pct,10.098351463530497,7.627824664226859,4.325890932254689,3.4023141333618865,133.439807467988
pre_volatility,0.13252501034656658,0.1009415232315091,0.05871799102905375,0.04654515525935177,125.69745324051192
pre_total_volume,8843573.461424245,1528432.5,1653239012.5526116,608480.155,-99.46507592705728
volume_ratio_last1h_vs_avg,2.9341514041937358,1.2304848829909658,1.9287890225163293,0.9809533993156991,52.12402030190915
sma12_slope,2.7512402237901945,2.3336755412287413,0.2586506073443913,0.01977907168227207,963.6898370499239
staircase_score,0.6939393939393939,0.8,0.622,0.6,11.56581896131734
volume_staircase_score,0.5272727272727272,0.6,0.512,0.4,2.9829545454545343
range_compression_ratio,1.5751457642765192,1.2047520833514422,1.252021146755655,0.9900914365921115,25.80823960986382
pre_volume_skew,3.1169607548660623,2.944559776791093,3.5937716115065292,3.538069773069906,-13.267700571561509
