pair,entry_time,entry_price,stake,amount,score,rules_triggered,signal_tag,max_rate,peak_profit_pct,exit_time,exit_price,exit_reason,profit_pct,net_profit_usd,hold_hours
NFP_USDT,2026-06-03 09:25:00+00:00,0.01016,1.0,98.2283464566929,100.0,7.0,moji_strong,0.010278,1.161417322834646,2026-06-03 17:25:00+00:00,0.00962,dud_early,-5.314960629921265,-0.0550433070866142,8.0
NFP_USDT,2026-06-05 11:15:00+00:00,0.008401,1.0,118.7953815022021,75.0,5.0,moji_strong,0.01094,30.22259254850612,2026-06-05 16:30:00+00:00,0.00993,pullback_exit,18.200214260207108,0.1796381383168668,5.25
NFP_USDT,2026-06-05 16:30:00+00:00,0.00993,1.0,100.50352467270896,75.0,4.0,moji_strong,0.010107,1.782477341389729,2026-06-05 19:30:00+00:00,0.008889,stoploss,-10.483383685800607,-0.10662416918429007,3.0
SLX_USDT,2026-06-24 06:00:00+00:00,0.28852,1.0,3.4590323027866354,75.0,6.0,moji_strong,0.31143,7.94052405379176,2026-06-24 14:00:00+00:00,0.26655,dud_early,-7.6147234160543436,-0.07799493969222238,8.0
SAHARA_USDT,2026-06-24 10:00:00+00:00,0.01438,1.0,69.4019471488178,75.0,6.0,moji_strong,0.01448,0.6954102920723184,2026-06-24 15:35:00+00:00,0.01288,stoploss,-10.431154381084836,-0.10610292072322669,5.583333333333333
SWELL_USDT,2026-06-24 08:00:00+00:00,0.0007884,1.0,1265.8548959918824,75.0,5.0,moji_strong,0.0008019,1.712328767123295,2026-06-24 16:00:00+00:00,0.0007489,dud_early,-5.0101471334347965,-0.05200126839167929,8.0
LIGHT_USDT,2026-06-24 12:00:00+00:00,0.14577,1.0,6.846401865953213,100.0,6.0,moji_strong,0.14814,1.6258489401111225,2026-06-24 16:40:00+00:00,0.12953,stoploss,-11.140838306921866,-0.11318556630308019,4.666666666666667
NAORIS_USDT,2026-06-24 14:00:00+00:00,0.03564,1.0,28.002244668911338,100.0,6.0,moji_strong,0.03601,1.038159371492711,2026-06-24 16:50:00+00:00,0.032,stoploss,-10.213243546576873,-0.10392817059483728,2.8333333333333335
ESPORTS_USDT,2026-06-24 18:00:00+00:00,0.03375,1.0,29.57037037037037,90.0,5.0,moji_strong,0.04104,21.59999999999999,2026-06-25 08:10:00+00:00,0.03684,pullback_exit,9.155555555555543,0.08937244444444437,14.166666666666666
VELVET_USDT,2026-06-24 20:00:00+00:00,0.48356,1.0,2.063859707171809,75.0,5.0,moji_strong,0.49217,1.7805442964678648,2026-06-25 08:15:00+00:00,0.48254,stale_half_day,-0.21093556125402543,-0.004105136901315087,12.25
LIT_USDT,2026-06-24 22:00:00+00:00,1.6786,1.0,0.5945430716072918,75.0,6.0,moji_strong,1.702,1.3940188252114776,2026-06-25 10:00:00+00:00,1.6644,stale_half_day,-0.8459430477779096,-0.010442511616823524,12.0
UB_USDT,2026-06-24 16:00:00+00:00,0.06545,1.0,15.248281130634073,75.0,5.0,moji_strong,0.07448,13.796791443850283,2026-06-25 10:50:00+00:00,0.0651,stale_half_day,-0.5347593582887537,-0.007336898395721714,18.833333333333332
USELESS_USDT,2026-06-25 00:00:00+00:00,0.07261,1.0,13.744663269522105,90.0,4.0,moji_strong,0.0741,2.0520589450488984,2026-06-25 12:00:00+00:00,0.0718,stale_half_day,-1.115548822476231,-0.013133177248312755,12.0
HIGH_USDT,2026-06-25 04:00:00+00:00,0.03685,1.0,27.082767978290367,75.0,6.0,moji_strong,0.03717,0.8683853459972887,2026-06-25 12:00:00+00:00,0.03574,dud_early,-3.0122116689280864,-0.03206187245590231,8.0
ZEST_USDT,2026-06-25 06:00:00+00:00,0.28087,1.0,3.5532452736141273,85.0,6.0,moji_strong,0.28087,0.0,2026-06-25 14:00:00+00:00,0.25492,dud_early,-9.239149784597867,-0.09420671485028675,8.0
WARD_USDT,2026-06-25 08:00:00+00:00,0.008372,1.0,119.2068800764453,75.0,5.0,moji_strong,0.008631,3.09364548494984,2026-06-25 16:00:00+00:00,0.00805,dud_early,-3.8461538461538387,-0.04038461538461535,8.0
ZORA_USDT,2026-06-25 10:00:00+00:00,0.007545,1.0,132.27302849569253,100.0,5.0,moji_strong,0.007582,0.49039098740888765,2026-06-25 18:00:00+00:00,0.007219,dud_early,-4.320742213386348,-0.04512100728959578,8.0
SEI_USDT,2026-06-25 02:00:00+00:00,0.05568,1.0,17.923850574712645,75.0,4.0,moji_strong,0.05971,7.237787356321837,2026-06-26 02:00:00+00:00,0.05544,stale_half_day,-0.43103448275861556,-0.006301724137931064,24.0
VVV_USDT,2026-06-25 18:00:00+00:00,14.235,1.0,0.07010888654724272,90.0,4.0,moji_strong,14.422,1.3136635054443357,2026-06-26 02:00:00+00:00,13.613,dud_early,-4.36951176677204,-0.04560772743238495,8.0
VELVET_USDT,2026-06-25 12:00:00+00:00,0.49251,1.0,2.026354794826501,75.0,5.0,moji_strong,0.52439,6.472965015938767,2026-06-26 03:05:00+00:00,0.4915,stale_half_day,-0.20507197823394668,-0.004046618342774866,15.083333333333334
TA_USDT,2026-06-25 16:00:00+00:00,0.08307,1.0,12.013964126640182,75.0,4.0,moji_strong,0.08443,1.6371734681593835,2026-06-26 04:30:00+00:00,0.0819,stale_half_day,-1.4084507042253573,-0.01605633802816908,12.5
UB_USDT,2026-06-26 04:00:00+00:00,0.07205,1.0,13.85149201943095,90.0,4.0,moji_strong,0.08818,22.387231089521155,2026-06-26 10:30:00+00:00,0.07888,pullback_exit,9.479528105482308,0.0926056904927135,6.5
SKR_USDT,2026-06-26 00:00:00+00:00,0.008131,1.0,122.74013036526874,85.0,5.0,moji_strong,0.008339,2.558110933464517,2026-06-26 12:50:00+00:00,0.008103,stale_half_day,-0.34436108719712843,-0.005436723650227404,12.833333333333334
VELVET_USDT,2026-06-26 12:00:00+00:00,0.52064,1.0,1.9168715427166565,75.0,5.0,moji_strong,0.64377,23.649738783036256,2026-06-26 14:55:00+00:00,0.57423,pullback_exit,10.2931007990166,0.10072514597418558,2.9166666666666665
MAGMA_USDT,2026-06-26 06:00:00+00:00,0.501,1.0,1.9920159680638723,75.0,4.0,moji_strong,0.72868,45.44510978043912,2026-06-26 16:40:00+00:00,0.66246,pullback_exit,32.22754491017965,0.3196308982035929,10.666666666666666
TRUMP_USDT,2026-06-26 08:00:00+00:00,1.704,1.0,0.5856807511737089,75.0,4.0,moji_strong,1.742,2.2300469483568097,2026-06-26 20:00:00+00:00,1.699,stale_half_day,-0.2934272300469421,-0.004928403755868449,12.0
JTO_USDT,2026-06-25 22:00:00+00:00,0.7097,1.0,1.4062279836550655,100.0,7.0,moji_strong,0.8825,24.348316189939403,2026-06-27 00:10:00+00:00,0.7967,pullback_exit,12.2587008595181,0.12034183457799075,26.166666666666668
XCN_USDT,2026-06-27 00:00:00+00:00,0.004313,1.0,231.39346162763738,100.0,7.0,moji_strong,0.004322,0.20867145838164447,2026-06-27 04:15:00+00:00,0.003878,stoploss,-10.085787155112452,-0.10265615580802234,4.25
ZEC_USDT,2026-06-26 18:00:00+00:00,418.04,1.0,0.0023873313558511145,75.0,4.0,moji_strong,425.01,1.667304564156533,2026-06-27 06:00:00+00:00,412.59,stale_half_day,-1.3037029949287258,-0.01501095588938861,12.0
