timeframe,feature,diff_pct,moji_mean,control_mean,n_samples
5m,pre_change_pct,9631.879109690688,3.9097985929481722,0.04017516605867948,65
5m,sma_slope_pct,6756.758118598134,2.5944770662482157,-0.03897508396766855,65
5m,vol_concentration,132.0958380687575,0.056682620243142356,0.024422075257700373,65
15m,sma_slope_pct,171.6752588462523,2.6530446772045293,0.9765499767889988,65
15m,pre_change_pct,152.39757749529718,3.441863964956722,1.3636675910729978,65
15m,vol_concentration,84.42597414023521,0.13748006301509286,0.07454484849870156,65
30m,sma_slope_pct,3106.4546047234126,2.309326749752896,-0.0768122939932216,65
30m,pre_change_pct,758.9064688859746,2.7673564318635338,0.32219531836253035,65
30m,vol_concentration,54.20483007674027,0.2407477475630214,0.15612205366278922,65
1h,staircase_score,inf,0.0,0.0,64
1h,sma_slope_pct,6666.003556260378,1.552475279569531,-0.023644143142282005,64
1h,pre_change_pct,1128.087677769899,2.41573302011989,-0.23497344364247563,64
4h,sma_slope_pct,inf,0.0,0.0,62
4h,staircase_score,inf,0.0,0.0,62
4h,pre_change_pct,823.7672993707002,1.68843115729055,-0.2332837030297726,62
