start 2026-06-24 02:02:28.864735
[1/46] ChanlunCenterBreakoutStrategy/1m OK profit=?%, trades=0, 207s
[2/46] ChanlunCenterBreakoutStrategy/15m OK profit=?%, trades=0, 37s
[3/46] ChanlunSecondBuyStrategy/1m OK profit=?%, trades=0, 124s
[4/46] ChanlunSecondBuyStrategy/15m OK profit=?%, trades=0, 23s
[5/46] ChanlunSecondBuyMinimal/1m OK profit=?%, trades=0, 120s
[6/46] ChanlunSecondBuyMinimal/15m OK profit=?%, trades=0, 14s
[7/46] ChanlunSecondBuyTrailing/1m OK profit=?%, trades=0, 60s
[8/46] ChanlunSecondBuyTrailing/15m OK profit=?%, trades=0, 13s
[9/46] ChanlunMacdDivergenceStrategy/1m OK profit=?%, trades=0, 64s
[10/46] ChanlunMacdDivergenceStrategy/15m OK profit=?%, trades=0, 15s
[11/46] ChanlunRsiTimingStrategy/1m OK profit=?%, trades=0, 60s
[12/46] ChanlunRsiTimingStrategy/15m OK profit=?%, trades=0, 14s
[13/46] ChanlunVolumeConfirmationStrategy/1m OK profit=?%, trades=0, 74s
[14/46] ChanlunVolumeConfirmationStrategy/15m OK profit=?%, trades=0, 14s
[15/46] ChanlunMaRsiSecondBuyStrategy/1m OK profit=?%, trades=0, 45s
[16/46] ChanlunMaRsiSecondBuyStrategy/15m OK profit=?%, trades=0, 13s
[17/46] MemeLimitedDcaMartingaleStrategy/1m OK profit=?%, trades=0, 32s
[18/46] MemeLimitedDcaMartingaleStrategy/15m OK profit=?%, trades=0, 15s
[19/46] MemeVolatilityGridMartingaleStrategy/1m OK profit=?%, trades=0, 42s
